BUKRS,BELNR,GJAHR,BUZEI,HKONT,KOSTL,WRBTR,DMBTR,WAERS,BUDAT,BLDAT,SGTXT
6000,ABC8684,2023,2,009856357,KST005,3883.26,"3,930",EUR,2021-08-10,2022-08-09,Vendor invoice
6000,8464387675,2021,2,007314085,KST002,362,"1,424",EURO,10/07/2021,2022-10-18,Invoice payment
3000,8164327517,2023,2,009277702,KST005,NaN,1514,EURO,28-05-2022,08-05-2022,Invoice payment
3000,ABC3709,2022,3,007245420,KST001,ERROR,2803,USD,26/09/2023,13/10/2021,
3000,317691,2023,1,007309569,KST001,183,2500.72,USD,29/12/2021,01/12/2021,Wrong amount
3000,6929285304,2022,1,004302330,KST003,ERROR,"8,948",eur,14-12-2022,21/06/2021,Duplicate row
3000,ABC8919,2021,2,007466669,KST005,ERROR,274,USD,04-01-2023,2021.04.02,Vendor invoice
4000,ABC4021,2022,3,008181118,KST001,4109,3952.09,EUR,2023-02-13,31/05/2022,Wrong amount
6000,6804702493,2022,3,006615490,KST007,ERROR,4510,EURO,31-03-2021,2021-09-18,Payment received
2000,818586,2023,2,009653568,KST004,NaN,1826.92,EURO,2022-04-22,2022.07.04,Wrong amount
6000,403313,2023,3,005624186,KST003,646.3,"6,194",EUR,2021.06.20,12-09-2023,Wrong amount
3000,ABC5801,2021,3,005924715,KST003,ERROR,4674.04,EUR,2021.03.10,2022.09.01,Invoice payment
1000,7046234176,2023,1,004557567,KST003,NaN,1349.41,USD,06-03-2022,11/02/2021,Vendor invoice
6000,ABC4507,2021,2,007701266,KST009,ERROR,"7,226",eur,2022.08.24,2021.05.12,Duplicate row
1000,491377,2022,3,006423188,KST007,4386,"9,167",USD,24-05-2022,2021.07.16,Duplicate row
1000,678144,2022,3,004411589,KST004,ERROR,4807.52,USD,2021-01-11,2023.02.24,Wrong amount
1000,ABC1814,2023,1,008675898,KST005,3685.8,4208.16,EUR,22-02-2021,2023.05.10,Vendor invoice
2000,ABC4052,2023,2,004627335,KST006,2960,"9,490",EUR,08/09/2023,2022-04-21,Wrong amount
4000,ABC6248,2021,3,005134050,KST002,NaN,541,eur,29/05/2023,15-03-2022,Invoice payment
5000,ABC1947,2021,1,005952876,KST009,660,4811.89,EUR,11-09-2022,2023.04.22,Vendor invoice
1000,461382,2021,3,004546971,KST007,NaN,"7,985",eur,25/03/2021,2023.09.27,
1000,ABC8962,2021,3,004899535,KST009,NaN,2913.35,EURO,2022-03-02,2021.01.27,Wrong amount
6000,4549284078,2022,1,006950524,KST001,4143.46,"4,155",USD,2022-08-27,2021-03-24,Duplicate row
6000,ABC8660,2023,1,005453943,KST006,NaN,230.06,eur,2021.09.30,2022.07.21,
3000,9991831601,2021,1,005002527,KST005,NaN,301.13,EURO,2023.04.05,08-07-2021,Payment received
3000,210112,2021,2,006976681,KST005,711,"5,288",EURO,2022-04-23,2022.05.03,Duplicate row
2000,9812665983,2021,1,006627335,KST008,NaN,"1,136",USD,06/07/2023,2023-01-07,Invoice payment
5000,ABC4334,2023,3,007216481,KST003,2280,3785,USD,2021.03.01,2021-06-27,
5000,664616,2023,2,009071470,KST005,995,4435.37,EUR,2023-07-23,23-12-2022,Vendor invoice
4000,592544,2021,3,009593420,KST004,ERROR,3594.48,EUR,2022-11-11,15/05/2022,Payment received
6000,511628,2023,2,005590171,KST002,4277,2532.15,eur,2022.01.19,2022.01.04,Wrong amount
1000,9455880371,2023,1,004079265,KST009,ERROR,1396.26,USD,16-03-2021,25-02-2021,Invoice payment
5000,ABC3720,2022,2,006309059,KST008,NaN,"8,364",eur,01-07-2022,2021-07-03,Duplicate row
4000,ABC8782,2023,2,005961006,KST004,3800.98,2541,USD,2023-06-09,03-05-2021,Payment received
5000,2813618769,2022,1,006366230,KST009,4367.64,2968,EUR,2023.01.15,23-05-2021,Invoice payment
2000,106168,2021,1,008446364,KST005,ERROR,"8,209",eur,19/08/2022,31-05-2023,Vendor invoice
1000,129342,2022,1,005673655,,2574,1517.93,eur,2022-09-08,20-04-2023,Invoice payment
3000,ABC1593,2023,2,004516574,,ERROR,1052.66,eur,13/03/2022,2022-12-22,Invoice payment
4000,602641,2022,3,007151911,KST009,1126,180.28,USD,06/03/2023,2022-08-28,Wrong amount
6000,3548320004,2022,2,004789714,KST002,NaN,777,EURO,2021-11-29,30-06-2023,Vendor invoice
5000,ABC2571,2023,2,005560910,KST005,ERROR,4786.65,EURO,2023.09.17,2023.07.10,
4000,957170,2023,3,004832251,KST003,ERROR,4862.97,EURO,2022.11.28,2022.01.19,Invoice payment
2000,898541,2022,3,005454061,KST002,ERROR,3596.14,EUR,31/12/2021,19/07/2022,Duplicate row
6000,ABC8790,2021,1,007306826,KST004,2934.88,"7,826",EUR,2022.07.17,05-08-2022,Payment received
2000,8918615091,2021,2,007670309,KST005,NaN,2026,eur,03-03-2023,2021.01.08,
2000,7554231039,2021,1,009756006,KST001,NaN,4781,USD,31-03-2023,20/04/2021,Duplicate row
3000,ABC4162,2022,3,009936702,KST009,NaN,4114,EURO,07-12-2021,09/11/2022,Vendor invoice
3000,509443,2021,3,005209073,KST003,ERROR,"4,164",USD,14-05-2022,2021-11-15,Payment received
5000,ABC1391,2023,2,005346608,KST001,ERROR,458.68,USD,2021.03.11,2022.07.10,Invoice payment
2000,6936353128,2023,3,006369719,,ERROR,3244,eur,08/04/2022,2021.08.11,Invoice payment
1000,ABC6330,2023,3,004484686,KST008,4754.77,2745.84,EUR,03-08-2023,2022-08-07,Payment received
2000,654500,2021,1,004832594,KST002,249.45,2545,EUR,2021-07-01,08-05-2022,
1000,ABC1544,2021,1,006244540,KST006,2388.01,3253.79,USD,04-06-2021,2021.11.16,Invoice payment
5000,550269,2021,2,004032567,KST005,4240.71,"1,222",eur,2021-07-20,2021-11-20,Wrong amount
6000,3420243129,2023,3,006857702,KST009,NaN,312,eur,06/02/2021,2021-09-05,Payment received
1000,ABC5167,2021,1,006139691,,4210.67,"8,833",EURO,2023.02.16,18-10-2022,Payment received
3000,997141,2021,1,008117988,KST007,2068.21,858.05,eur,2021.12.28,08-09-2021,Vendor invoice
6000,ABC8338,2021,2,004912082,KST006,NaN,2987.01,EUR,14/07/2023,2023-02-08,
4000,2824135039,2022,1,008273453,KST007,NaN,"6,373",EURO,23-12-2021,2021.04.08,
1000,7025833649,2023,1,004359281,KST005,2641.29,2594.23,USD,2021-10-03,2023-06-18,Invoice payment
6000,7969069278,2023,1,006474215,,1561.43,2588.36,eur,08-06-2021,2022-04-06,Payment received
5000,854330,2023,1,007430906,KST006,NaN,"2,463",eur,2022.01.09,24/05/2022,Duplicate row
5000,ABC9342,2022,1,008767201,KST001,ERROR,"4,419",USD,21/08/2021,14-01-2023,Payment received
4000,6418777412,2023,1,008444617,KST004,2760,4187.84,USD,2022.09.08,2021-06-12,Payment received
6000,328422,2021,2,004887389,KST002,4249,"5,328",USD,2023-03-19,08/04/2023,Vendor invoice
3000,592541,2021,1,007227367,KST005,ERROR,2140.88,USD,25-04-2021,17/01/2023,Wrong amount
4000,366384,2021,1,008228190,KST002,NaN,"2,728",EURO,01-02-2022,12-08-2023,Wrong amount
4000,6141106170,2021,2,007386890,KST001,4768,3850.84,USD,31/01/2023,2022.04.07,Invoice payment
3000,ABC7383,2022,2,004693297,KST007,1518.76,2477,EUR,22-04-2021,2022.01.28,
4000,ABC5803,2023,3,009923058,KST008,ERROR,2830,EURO,2021.11.28,26/05/2023,Vendor invoice
4000,ABC9670,2022,3,004640238,KST002,ERROR,"8,283",USD,21/07/2023,2021-08-11,Payment received
3000,136527,2023,1,007790636,KST005,844.41,"4,223",EUR,2022-08-03,2021.05.25,Payment received
4000,957581,2022,3,004284172,KST003,998.6,3666.63,USD,24-09-2023,14/05/2023,Payment received
6000,255555,2023,1,009804224,KST005,4210.79,4375,EUR,10/08/2021,2021-02-12,Wrong amount
2000,655711,2023,3,006226181,KST003,4046,"9,189",EUR,10-11-2021,2022.03.05,Duplicate row
3000,8817424169,2021,2,005381038,KST003,NaN,4643.2,eur,14/04/2023,30-03-2022,Invoice payment
3000,8289374257,2022,1,004057194,KST009,1710.52,4910.59,EUR,07/10/2022,2022-12-25,Vendor invoice
4000,ABC3665,2023,1,004755795,KST006,ERROR,667,EURO,2021-06-29,2022.10.19,Duplicate row
4000,7490360685,2022,1,005552497,KST004,NaN,1401.67,USD,31/08/2022,2021-09-09,Wrong amount
4000,504714,2021,3,006184158,KST009,4014,"4,187",eur,2023.07.05,2021-01-31,Duplicate row
1000,3502980104,2023,2,004686654,KST008,ERROR,2949.62,USD,31/10/2022,14-01-2023,Vendor invoice
4000,308483,2023,1,004439427,KST006,2313,2311.51,EURO,09-07-2021,2023-06-06,Wrong amount
2000,686294,2022,1,006259378,KST009,ERROR,4816.61,USD,09-09-2022,2023-02-21,Payment received
4000,9921977649,2021,1,007744001,KST008,514.84,"8,451",eur,05/01/2023,2023.01.26,Invoice payment
4000,720587,2023,2,005972598,KST007,678.08,201,EUR,2021-08-12,30/05/2022,Vendor invoice
6000,279203,2023,1,009531144,KST009,ERROR,2897,USD,2021.01.28,2021-10-19,Duplicate row
2000,7847167599,2022,2,004240445,KST007,NaN,"1,637",EUR,2021.11.27,02/05/2021,Invoice payment
5000,ABC5144,2021,1,006726141,KST007,NaN,"1,484",USD,2023-03-11,25-03-2022,Vendor invoice
5000,203561,2022,3,007823431,KST008,1753,2130.46,EURO,2021.06.10,10/05/2022,Payment received
6000,227112,2021,3,007951267,KST009,2058,"2,314",eur,2022-01-01,31/03/2021,Wrong amount
6000,5487953335,2021,2,006418831,KST002,NaN,"4,147",EURO,24-02-2023,12-01-2023,Payment received
2000,ABC4730,2021,1,006433812,KST004,3659.55,"6,249",EURO,21-05-2023,2021.09.08,Payment received
2000,6248775712,2023,2,009702864,KST002,NaN,"6,736",EURO,2023-05-25,01-05-2023,Vendor invoice
6000,4181776914,2022,1,009960186,KST007,344.08,2644.07,USD,09/07/2021,2021.07.29,Wrong amount
3000,ABC6675,2022,3,005672313,KST005,1950,"3,252",EUR,05-06-2021,17-12-2022,Duplicate row
2000,954256,2023,3,004109033,KST006,ERROR,3887,EUR,2021-09-28,2023.02.11,Wrong amount
2000,ABC4755,2023,2,007594225,,ERROR,"2,370",USD,2023-05-19,2023-01-26,
3000,5140535446,2022,1,008638980,KST001,NaN,4401.3,eur,2022-07-27,19/09/2023,Wrong amount
2000,3276246051,2023,1,006519565,KST006,ERROR,2712,EUR,12/11/2022,2022.05.02,Wrong amount
1000,9412917947,2023,2,007388902,KST009,NaN,3464,eur,24/08/2023,2023.06.06,Payment received
4000,5737456936,2021,3,004568839,KST006,1784,1035,EUR,2022-11-10,2022.04.18,
6000,418891,2023,2,006405457,KST003,NaN,3366.59,EUR,29-03-2021,2021.07.18,Duplicate row
5000,681164,2021,3,008695122,KST003,2280.57,2478,USD,2023.07.02,2021-08-17,Payment received
4000,9760474252,2022,2,005210465,KST002,4265.33,3270.56,EUR,09-07-2021,2021.12.27,
4000,4559581556,2021,3,009506837,KST004,1808.79,1291.91,EURO,2021.11.05,05-04-2023,Payment received
2000,ABC7107,2023,3,006592149,KST005,NaN,"1,514",eur,14-03-2023,26-12-2022,
5000,7001427384,2021,3,008663739,KST008,1902,507.63,EUR,2022-12-09,2022.03.19,
4000,ABC5963,2022,2,008753845,KST003,NaN,1547,EURO,20-03-2023,04-07-2023,Wrong amount
1000,6708686883,2021,1,009414784,KST004,ERROR,1922.05,EURO,2021.07.18,01-07-2023,Invoice payment
3000,ABC5495,2022,2,004592964,KST009,ERROR,3856,eur,05-12-2022,16-10-2021,Payment received
1000,ABC7252,2021,2,006413378,KST003,NaN,2259.87,EURO,24/05/2023,2022.08.27,Payment received
3000,8263271995,2021,3,004908369,KST007,ERROR,3421,EUR,2021-11-05,18/05/2021,Wrong amount
1000,976808,2022,1,007426149,KST004,626,1362.38,USD,2021-09-15,07/04/2022,Duplicate row
5000,696568,2021,3,008546263,KST009,2929,551.36,EURO,30/11/2021,2021.03.11,
3000,ABC9726,2021,3,006358395,KST006,ERROR,2507.67,USD,2021.06.30,2023-04-15,Duplicate row
2000,ABC2020,2023,2,005986316,KST006,3117.37,"3,845",EUR,2021.02.01,05/01/2021,Duplicate row
6000,3698062759,2023,2,005681237,KST006,ERROR,3984,EURO,2023.09.28,22-04-2022,
1000,507319,2023,2,007811966,,4211.8,509,eur,2021-07-30,14/05/2021,Wrong amount
6000,3785246907,2023,3,004845772,,4792.35,"4,147",USD,18/10/2022,03-03-2022,Invoice payment
5000,ABC7724,2021,1,005581045,KST002,4589,"3,480",eur,02-08-2021,2023-08-06,Invoice payment
2000,914897,2022,1,005314644,KST001,ERROR,3194.77,eur,22-01-2022,2022-03-06,Payment received
5000,447991,2021,2,007525348,KST005,NaN,"7,487",eur,2023-01-24,01-10-2022,Payment received
4000,3020445191,2021,1,004033022,KST002,NaN,107.22,EURO,2022-12-29,07/03/2023,Invoice payment
4000,284374,2023,2,007275745,KST007,NaN,381,eur,2023.08.28,2023-05-16,Duplicate row
4000,3442158011,2022,2,009161721,KST008,NaN,"8,922",eur,2023.04.11,08-04-2021,Duplicate row
2000,869951,2022,1,006312827,KST008,4915.63,560,eur,31-08-2023,28/08/2021,Invoice payment
1000,ABC4374,2021,3,005747478,KST001,4868.65,"6,869",USD,2022-11-08,2022.05.31,
5000,ABC2729,2022,1,009408844,KST008,1729.75,3130.54,EUR,27/10/2021,2022.04.30,
3000,8099877876,2023,1,004754637,KST003,ERROR,"8,384",EUR,10-04-2022,2021.07.14,Invoice payment
5000,8939190196,2023,1,004903775,KST008,NaN,"9,764",USD,2022-07-13,20/12/2021,Duplicate row
4000,686964,2022,3,009822824,KST004,2414,3979,eur,17/04/2022,2023.02.07,
6000,826676,2022,1,009695928,KST004,NaN,1538,EUR,2022.06.03,15-11-2022,Vendor invoice
3000,ABC8162,2023,1,004386333,KST002,2239.59,3115,eur,17-01-2021,2022-05-28,Duplicate row
4000,589728,2022,2,009514633,KST002,1388,1109,EURO,16-12-2021,28/07/2021,
6000,ABC7195,2021,3,009601082,KST002,2207.06,3538,EURO,2021-04-28,29/08/2023,Duplicate row
2000,2846916016,2022,3,008572047,KST006,NaN,2130.68,EURO,2022.03.21,27-08-2021,
5000,8031880079,2022,1,009620119,KST003,2041,"1,108",USD,2023.03.10,13/06/2022,Invoice payment
3000,147943,2022,2,006789786,KST001,ERROR,814.94,USD,2022.06.08,30/01/2023,Payment received
3000,625365,2023,1,005207584,KST008,2827.58,1518,eur,2021-11-05,28-01-2022,Duplicate row
1000,2400288833,2023,3,007872979,KST005,3988.64,4099.85,eur,2021.04.10,27/05/2021,Invoice payment
4000,677617,2021,3,006858336,KST005,512,1166,USD,2021.09.12,13/07/2022,Wrong amount
5000,ABC2135,2022,1,007896556,KST008,3551.14,4495,EURO,2023.02.24,2021.09.10,Invoice payment
1000,6289875386,2023,3,009937508,KST006,4624,2087,EUR,2023.06.25,17/04/2021,Wrong amount
2000,6838200376,2022,3,008975545,KST003,NaN,173,USD,22/06/2021,2022-04-15,Invoice payment
1000,864906,2021,1,004246132,KST002,ERROR,1852,EURO,2023.04.15,2021.10.21,Payment received
3000,3946064477,2021,1,009046746,KST006,NaN,"1,955",EURO,2021.02.01,2021-08-10,Payment received
2000,ABC7339,2023,1,005356000,KST006,ERROR,"4,422",EURO,2023-06-28,09/01/2023,Invoice payment
5000,ABC4677,2022,2,004522098,KST003,ERROR,2662.62,eur,2021-05-11,27-01-2022,Vendor invoice
3000,411970,2021,1,008075261,KST008,2100,"1,347",EURO,2022.11.06,15/03/2023,Duplicate row
2000,223734,2023,2,008023399,,ERROR,"5,585",EUR,11/05/2023,2021-09-15,Payment received
2000,5644943877,2021,2,004286550,KST007,ERROR,2875,EURO,27-07-2021,10/03/2023,Vendor invoice
1000,ABC6015,2023,3,008764725,,3821,1297.9,USD,2021.12.18,09-05-2023,Invoice payment
6000,6870964636,2023,3,007244711,KST001,4722,1955,EUR,2022.08.12,11/04/2022,Vendor invoice
2000,4085087647,2021,2,004624202,,NaN,1101,EURO,27-09-2022,2023-05-05,Duplicate row
4000,870658,2021,2,006789087,KST001,ERROR,"1,677",EURO,2022.04.01,08/10/2022,Wrong amount
6000,ABC6293,2022,2,007299677,KST005,ERROR,4420.4,EUR,26/01/2022,28/04/2021,Wrong amount
3000,879946,2021,3,005283567,KST007,ERROR,"9,441",eur,2021.08.10,2021.11.11,Wrong amount
4000,ABC5387,2022,3,009849425,KST002,NaN,4755.15,eur,2023.06.22,01-03-2023,Payment received
4000,2678379453,2022,3,004131439,KST008,1243,"9,977",eur,29-06-2022,11-11-2022,Vendor invoice
4000,ABC2881,2023,2,009001112,KST005,ERROR,4078.17,eur,2023.08.22,2021-07-20,Vendor invoice
2000,ABC4305,2023,1,009788502,KST003,4364.45,1946.32,USD,2022-12-01,2023-07-24,Invoice payment
4000,1878230763,2021,2,008101099,KST001,114,545.6,USD,2021.12.10,2021.02.05,Duplicate row
5000,126287,2021,3,004929613,KST008,NaN,869.36,USD,2022.05.29,14-03-2021,Wrong amount
5000,ABC5747,2021,3,005367298,KST008,NaN,"5,243",eur,26-08-2021,06-04-2022,Wrong amount
5000,ABC6505,2021,3,008123730,KST006,545.84,1554.77,EURO,26/08/2022,2021-10-27,Vendor invoice
6000,5225819234,2023,2,006582050,KST001,2515.03,1079.36,USD,2023-01-10,2023.07.14,Vendor invoice
3000,288580,2021,1,005581006,KST005,NaN,4154,EUR,26-12-2021,2021-01-01,Duplicate row
4000,ABC5744,2021,1,004183829,KST005,ERROR,1205,EUR,01-01-2023,2021.11.06,Payment received
5000,ABC3159,2021,3,009924433,KST006,2253,3790.5,EURO,2022-06-24,2022.04.29,Vendor invoice
2000,ABC1391,2023,1,008244000,,146.62,"6,731",EUR,09-04-2023,2022-09-23,Duplicate row
4000,182288,2023,2,008997583,KST005,1071.94,4374,eur,24/02/2022,10-02-2023,Wrong amount
1000,854212,2021,3,007193642,KST003,499.02,1645.39,EURO,2022-04-02,2023.02.09,Duplicate row
3000,7727067497,2022,3,005075719,KST005,NaN,3354,EURO,22/03/2022,16/03/2022,
2000,ABC7838,2022,2,008935300,KST006,NaN,2733,USD,2021.05.26,05/11/2022,Vendor invoice
3000,894616,2023,1,005832680,KST006,619.23,"4,309",USD,2021-04-18,24-05-2021,Vendor invoice
4000,ABC4449,2023,3,008952528,KST001,1457,"8,823",USD,25-10-2021,11/11/2021,Vendor invoice
4000,1304971650,2022,3,008809139,KST001,ERROR,"7,487",USD,2022-08-26,19-01-2022,
4000,5493050044,2021,2,009789446,KST007,ERROR,"9,528",USD,24-03-2022,20/01/2021,Invoice payment
3000,5122007421,2021,1,008340534,KST001,NaN,"2,915",EUR,2023-04-13,2023-05-16,Duplicate row
1000,ABC1990,2021,3,006297645,KST007,4882,2065.61,EUR,2023.06.05,21-02-2022,
6000,8745326703,2021,2,007730929,KST004,3434.79,3241,EURO,2022-12-03,25/03/2022,Invoice payment
5000,130526,2021,3,008616238,KST003,2637.87,4159,EUR,2021-02-15,2022.08.30,
6000,2782344242,2022,3,006357522,KST005,NaN,2514.09,EURO,14/08/2022,2021-02-28,Vendor invoice
5000,ABC1149,2022,2,007052350,KST004,NaN,"1,627",EURO,2022.03.31,2023-05-20,
4000,850206,2022,1,007081838,KST006,ERROR,"8,253",USD,2021-12-28,2021.04.28,
5000,2124737397,2021,2,009652768,KST003,NaN,3286.29,EUR,2023-05-15,2023-02-14,Invoice payment
5000,3978177666,2021,2,009743586,KST009,1385,4878.17,EUR,2022.09.26,2021.04.05,
4000,6428538492,2023,2,004342588,KST002,3884,1116,USD,2023-01-07,15-09-2022,Vendor invoice
4000,4769743153,2022,3,005691337,KST005,NaN,"7,483",USD,25-07-2021,2022-08-18,Invoice payment
2000,8087337989,2021,1,009419498,KST004,1741.72,1257,eur,01/08/2022,2023.08.17,Duplicate row
1000,ABC9754,2023,2,005384338,KST007,NaN,"7,907",EURO,28/07/2021,2021.04.07,Duplicate row
5000,430674,2021,3,004803917,KST003,NaN,"5,869",EUR,29-08-2023,2023.04.26,
1000,ABC5425,2022,3,007816552,KST006,1990.08,"1,318",eur,03-07-2022,23-06-2022,Payment received
3000,ABC2095,2022,3,008535510,KST009,3381.08,2978,eur,24-09-2021,21-07-2021,Duplicate row
1000,6533608399,2023,1,006308678,KST002,ERROR,4467,EUR,03/06/2023,2021.10.30,Duplicate row
5000,ABC1231,2021,3,006741774,,3254.18,"1,254",USD,15/03/2023,2021.07.28,Wrong amount
5000,178605,2023,1,005122871,KST008,2691.06,1965,EURO,07/01/2023,2021-04-26,
3000,1708149226,2021,1,005763695,KST001,NaN,"4,801",EUR,25-03-2022,21/11/2022,Payment received
3000,ABC3726,2022,1,009968290,,2837.4,3371,EURO,2021.05.28,2023-03-29,Duplicate row
1000,ABC2468,2021,3,006713719,KST007,NaN,4757.17,eur,2021-08-19,2022-04-06,Invoice payment
3000,ABC5568,2023,3,009691230,KST005,ERROR,"4,810",USD,2022-06-02,09-12-2022,Payment received
4000,5369201384,2023,1,009527363,KST009,NaN,"3,793",eur,2021.12.23,17-02-2022,Duplicate row
2000,ABC5690,2022,3,007894660,,1228,"4,387",EURO,2022-12-03,04-01-2022,Wrong amount
2000,ABC2055,2021,1,004961846,KST007,NaN,"6,796",USD,2022-12-13,27/09/2021,Wrong amount
6000,564310,2023,3,005234530,KST001,NaN,1755.7,EURO,11-02-2023,2021.09.01,Wrong amount
3000,667711,2022,3,004158466,KST008,ERROR,"3,440",EURO,2022-09-14,2022-05-05,Payment received
3000,5086264215,2023,3,006340747,KST004,NaN,4863.02,EURO,08-01-2022,11/06/2021,Payment received
5000,4682955575,2021,2,004890923,KST003,3474,1335,USD,2021-09-18,24/01/2023,Payment received
5000,ABC4642,2021,3,009382590,KST009,ERROR,"3,650",EURO,2021-10-17,19/07/2021,Vendor invoice
2000,ABC1157,2021,3,007481294,KST008,NaN,2168,eur,26/05/2022,2021.03.01,Payment received
2000,8880119804,2021,2,006337355,KST002,2730,1718,EUR,2021.09.12,11-07-2021,Vendor invoice
3000,868947,2022,3,008525749,KST001,2138.76,1146,eur,2023-09-16,2022.11.30,Wrong amount
6000,ABC1532,2021,1,005258356,KST003,3260,3290.91,USD,09/07/2022,2021.03.09,Invoice payment
1000,ABC6194,2021,2,007001773,KST003,ERROR,4160,eur,18-09-2022,2021.04.03,Wrong amount
2000,ABC9224,2023,3,004700807,KST007,2798.73,2716.98,EUR,29/08/2022,2023-03-24,Duplicate row
5000,945404,2023,2,006076915,KST006,NaN,"9,357",eur,2022.03.31,2022.07.04,Wrong amount
1000,ABC6274,2023,2,009089955,KST008,1310,2648,EUR,2022-11-20,2022.09.14,Wrong amount
5000,303231,2021,2,008735273,KST002,ERROR,4840,eur,2022.10.01,2021-05-15,Wrong amount
2000,ABC2466,2022,1,005806442,KST007,912.34,4044.16,EURO,18/01/2021,2021-01-29,
4000,331174,2022,1,006697765,KST008,ERROR,2766.1,EUR,25/01/2023,2022-01-01,
2000,5507449942,2023,1,008372535,KST005,3428.34,"3,135",EURO,2023.09.07,2023.03.17,Vendor invoice
3000,365998,2023,2,004505803,,NaN,"9,859",USD,2022-09-19,2022.06.14,Payment received
5000,ABC7300,2023,3,009911324,KST005,ERROR,3886,EURO,2022.11.16,18-11-2022,Wrong amount
5000,464978,2023,2,008432585,KST004,705,"5,676",EUR,28/09/2023,2022.02.12,Payment received
4000,949689,2021,3,008398260,KST009,2017.08,3754,EURO,2022.12.27,15-11-2022,
1000,1849656937,2021,1,005952347,KST008,NaN,"7,166",eur,26-03-2023,2021.07.17,Duplicate row
2000,ABC4558,2022,2,008655607,KST009,1684.65,3005,eur,2021.05.13,2023-06-12,
3000,375911,2023,3,005240356,KST006,3465.48,4710.94,EURO,2022-01-02,06/02/2023,Wrong amount
4000,8547032799,2022,1,005398190,KST007,NaN,743,USD,2021-06-26,16-10-2022,Duplicate row
3000,5706166065,2022,3,008686051,KST004,ERROR,2894,EUR,18/06/2023,2022-12-29,Vendor invoice
2000,4033086158,2021,1,004803543,KST005,130.2,178,eur,2023-06-19,06-09-2023,Vendor invoice
1000,491789,2022,2,004845283,KST008,901,"2,592",EUR,12/06/2022,21/03/2021,Invoice payment
3000,ABC3921,2021,1,008688680,KST004,NaN,4021,EURO,09-06-2022,2021.07.18,Vendor invoice
3000,ABC3657,2022,2,007510723,KST009,4815.31,388,USD,2022.05.25,2021-02-28,Vendor invoice
1000,ABC3779,2021,3,008482780,KST009,ERROR,3254.45,EURO,2021-02-28,25-01-2023,Payment received
1000,ABC7625,2022,1,004843181,KST009,2159,"3,372",USD,2023-01-28,25/12/2022,Invoice payment
6000,ABC2139,2023,1,008819525,,NaN,4902.29,EURO,2023.05.05,2022.02.19,Duplicate row
6000,856155,2021,3,004208803,KST004,1232.59,2807.22,USD,11-05-2022,01-01-2021,Vendor invoice
6000,1991590127,2022,2,006177267,,4180,3996,EUR,16/07/2022,2023-09-28,Vendor invoice
5000,190450,2021,3,004593817,KST007,NaN,"6,541",eur,17-05-2022,2023.03.17,
2000,878183,2022,1,004461466,KST007,NaN,"8,228",EURO,2022.09.17,2021.11.24,Duplicate row
4000,2360267081,2023,1,008766273,KST002,NaN,2479,EUR,21/01/2023,22/03/2022,Wrong amount
5000,9877182255,2022,3,008194130,KST006,ERROR,1010.49,EUR,2021.02.13,2021-03-15,Invoice payment
4000,5414710097,2021,3,007621073,KST006,ERROR,3586,EURO,2022.01.08,2021-12-15,Payment received
2000,8302846474,2021,2,006012220,KST001,NaN,584,EURO,04/03/2022,2023.08.27,Vendor invoice
4000,ABC7433,2022,1,007840268,KST009,ERROR,"1,600",USD,2022-03-08,2022.05.16,Wrong amount
6000,880050,2023,2,006029520,KST003,4427,2281.29,EURO,2022.07.07,29-03-2023,Payment received
4000,467540,2023,3,009642160,KST002,3400,"7,130",eur,23-03-2022,2022.07.15,Invoice payment
4000,ABC6318,2021,2,004465566,KST004,2599,2877.4,eur,2023.07.30,26/06/2021,Invoice payment
4000,756182,2021,2,009206183,,NaN,4723.84,EUR,2021.05.29,2023.02.01,Vendor invoice
1000,ABC1258,2021,1,008807431,KST006,ERROR,4477.22,EURO,16-08-2021,2022-11-07,Wrong amount
1000,ABC1918,2022,1,005195550,KST001,3691.51,"2,206",eur,2023.09.14,23/12/2022,Payment received
2000,ABC2869,2023,1,006996005,KST001,NaN,555.48,EURO,2021.03.27,10/09/2023,Invoice payment
5000,ABC9316,2022,1,007371366,,4155,3504,EURO,10/08/2022,18/03/2022,Vendor invoice
6000,ABC5224,2021,3,008149998,,844.65,"6,290",USD,29-07-2023,01/12/2022,Wrong amount
4000,708434,2021,1,009260849,KST002,NaN,3599,USD,14-11-2021,2021.11.22,
1000,ABC1308,2022,1,006533645,,NaN,2090.87,USD,2021-09-13,2022.12.27,
1000,328500,2023,3,005073896,,ERROR,680.8,USD,23/06/2021,27-07-2023,Vendor invoice
4000,3953888982,2021,2,008467017,KST001,3612.28,"6,263",EUR,01/09/2022,03/05/2021,Wrong amount
2000,ABC4371,2021,2,005672532,KST004,NaN,3377,EUR,17/03/2022,2022-08-11,Duplicate row
2000,1149625808,2021,3,007333193,KST001,ERROR,242,eur,18-03-2023,01/03/2021,Wrong amount
1000,ABC8241,2023,2,009147422,KST007,411.9,4141,eur,27/01/2023,13-09-2022,Vendor invoice
2000,8974038547,2023,2,006378469,KST006,4966,236,EUR,2022-11-30,2023.01.17,
2000,779486,2021,3,007833779,KST002,1391.81,4592,USD,18-02-2021,2023-07-11,Duplicate row
3000,3961198456,2022,2,005934119,KST006,4857.78,1142.61,USD,10/07/2022,2023-05-29,Vendor invoice
5000,ABC8642,2023,3,007991183,KST003,1087.62,"2,399",eur,14-01-2021,22-02-2022,
